Código,Nome Estação,Tipo Estação,UF,Bacia,SubBacia,Rio,Município,Responsável,Operadora,Latitude,Longitude,Altitude (m),Área de Drenagem (Km²)
39571100,COLONIA LEOPOLDINA,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO JACUÍPE,COLÔNIA LEOPOLDINA,CPRH-PE,CPRH-PE,"-8,9119","-35,7597",,
39580001,JACUIPE,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO JACUÍPE,JACUÍPE,"SEMARH-AL
","SEMARH-AL
","-8,8417","-35,4475",,
39580000,JACUÍPE,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO JACUÍPE,JACUÍPE,CPRM,,"-8,8411","-35,4469",61,756
39610000,MARAGOGI,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO MARAGOGI,MARAGOGI,SEMARH-AL,SEMARH-AL,"-9,0086","-35,2317",,
39620000,PORTO CALVO,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO MANGUABA,PORTO CALVO,SEMARH-AL,SEMARH-AL,"-9,0483","-35,4067",,342
39620001,PORTO CALVO,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO MANGUABA,PORTO CALVO,SEMARH-AL,SEMARH-AL,"-9,0483","-35,4067",,
39622000,PORTO CALVO,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO MANGUABA,PORTO CALVO,SEMARH-AL,SEMARH-AL,"-9,0106","-35,4353",,332
39630000,JOAQUIM GOMES,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE","RIO CAMARAGIBE
",JOAQUIM GOMES,SEMARH-AL,SEMARH-AL,"-9,1092","-35,6994",,638
39640000,MATRIZ DE CAMARAGIBE,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO CAMARAGIBE,MATRIZ DE CAMARAGIBE,ANA,ANA,"-9,12972","-35,5475",,
39650000,MATRIZ DE CAMARAGIBE II,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO CAMARAGIBE,MATRIZ DE CAMARAGIBE,ANA,CPRM,"-9,1592","-35,5397",,805
39650001,MATRIZ DE CAMARAGIBE,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO CAMARAGIBE,MATRIZ DE CAMARAGIBE,SEMARH-AL,SEMARH-AL,"-9,1592","-35,5397",,
39650010,MATRIZ DE CAMARAGIBE,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO CAMARAGIBE,MATRIZ DE CAMARAGIBE,SEMARH-AL,SEMARH-AL,"-9,1592","-35,5397",,
39650700,FLEXEIRAS,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO JIRITUBA,FLEXEIRAS,SEMARH-AL,SEMARH-AL,"-9,2836","-35,6933",,
39651000,BARRA DE SANTO ANTÔNIO,Fluviométrica,AL,"3 - ATLÂNTICO,TRECHO NORTE/NORDESTE","39 - RIOS CAPIBARIBE,MUNDAÚ E JACUÍPE",RIO JIRITUBA,BARRA DE SANTO ANTÔNIO,SEMARH-AL,SEMARH-AL,"-9,358888889","-35,58055556",,345
