EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49705000,1,01/06/2023,,1,1,1224,19,1095,896,1171,683,22,28,1,1,1,,0,1159,367,1163,379,1163,379,1191,611,1220,99,1187,562,1207,858,1211,933,1191,611,1183,518,1163,379,1151,359,1159,367,1163,379,1163,379,1171,419,1167,396,1163,379,1171,419,1171,419,1183,518,1224,19,1216,14,1191,611,1151,359,1159,367,1151,359,1095,896,1127,461,1123,497,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
49705000,1,01/05/2023,,1,1,1195,665,1068,557,1119,316,23,11,2,2,2,,0,1127,461,1135,406,1119,538,1107,693,1103,755,1095,896,1091,974,1084,147,1095,896,1080,241,1068,557,1084,147,1076,341,1088,58,1111,636,1103,755,1103,755,1127,461,1135,406,1127,461,1143,372,1175,447,1195,665,1167,396,1163,379,1147,363,1139,386,1095,896,1127,461,1123,497,1151,359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
49705000,1,01/04/2023,,1,1,1159,367,1080,241,1116,433,6,12,1,1,1,,0,1099,823,1107,693,1107,693,1115,584,1151,359,1159,367,1107,693,1139,386,1127,461,1123,497,1091,974,1080,241,1091,974,1107,693,1131,431,1131,431,1115,584,1135,406,1115,584,1151,359,1123,497,1111,636,1115,584,1119,538,1099,823,1091,974,1107,693,1095,896,1115,584,1119,538,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
49705000,1,01/03/2023,,1,1,1478,904,1091,974,1165,48,1,28,1,1,1,,0,1478,904,1352,918,1262,429,1159,367,1127,461,1115,584,1123,497,1119,538,1099,823,1143,372,1151,359,1131,431,1131,431,1107,693,1127,461,1167,396,1207,858,1207,858,1241,926,1224,19,1171,419,1195,665,1191,611,1151,359,1131,431,1115,584,1111,636,1091,974,1091,974,1095,896,1099,823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49705000,1,01/02/2023,,1,1,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49705000,1,01/01/2023,,1,1,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49705000,1,01/12/2022,,1,1,2545,363,1091,974,1896,513,2,29,1,1,1,,0,2503,937,2545,363,2453,699,2196,1,1967,8,1792,501,1748,952,1748,952,1780,578,1885,23,1864,741,1844,553,1905,398,2042,197,2217,737,2314,453,2187,332,1917,668,1655,52,1808,449,2187,332,2323,332,2367,945,2301,161,1958,807,1575,561,1235,124,1135,406,1091,974,1123,497,1111,636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49705000,1,01/11/2022,,1,1,2332,226,1143,372,1621,15,30,16,2,2,2,,0,1255,579,1621,46,1609,623,1541,809,1497,29,1523,192,1512,68,1493,605,1534,351,1651,674,1772,649,1864,741,1804,457,1504,672,1224,19,1143,372,1228,286,1374,177,1575,561,1605,823,1523,192,1467,919,1541,809,1713,66,1772,649,1901,316,1975,367,1971,222,2092,938,2332,226,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
49705000,1,01/10/2022,,1,1,1467,919,1022,305,1142,948,27,2,1,1,1,,0,1175,447,1022,305,1076,341,1095,896,1068,557,1076,341,1107,693,1107,693,1123,497,1107,693,1119,538,1115,584,1103,755,1103,755,1095,896,1084,147,1084,147,1060,794,1099,823,1119,538,1107,693,1091,974,1119,538,1131,431,1195,665,1310,823,1467,919,1392,1338,824,1235,124,1091,974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
49705000,1,01/09/2022,,1,1,1701,963,1139,386,1320,808,24,19,1,1,1,,0,1575,561,1504,672,1489,924,1392,1211,933,1179,48,1216,14,1224,19,1252,16,1310,823,1317,8,1195,665,1279,624,1255,579,1276,177,1303,863,1293,451,1245,334,1139,386,1139,386,1187,562,1300,388,1556,772,1701,963,1659,369,1409,921,1248,745,1262,429,1245,334,1248,745,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,
