_id,co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
1,2700102,Água Branca,2006,Frota,veículos,1. Veículo,778
2,2700102,Água Branca,2006,Frota,veículos,1.1.1. Automóvel,135
3,2700102,Água Branca,2006,Frota,veículos,1.1.10. Motocicleta,345
4,2700102,Água Branca,2006,Frota,veículos,1.1.11. Motoneta,17
5,2700102,Água Branca,2006,Frota,veículos,1.1.12. Ônibus,1
6,2700102,Água Branca,2006,Frota,veículos,1.1.13. Quadriciclo,0
7,2700102,Água Branca,2006,Frota,veículos,1.1.14. Reboque,2
8,2700102,Água Branca,2006,Frota,veículos,1.1.15. Semi-reboque,2
9,2700102,Água Branca,2006,Frota,veículos,1.1.16. Sidecar,0
10,2700102,Água Branca,2006,Frota,veículos,1.1.17. Trator de esteira,0
11,2700102,Água Branca,2006,Frota,veículos,1.1.18. Trator de rodas,0
12,2700102,Água Branca,2006,Frota,veículos,1.1.19. Triciclo,0
13,2700102,Água Branca,2006,Frota,veículos,1.1.2. Bonde,0
14,2700102,Água Branca,2006,Frota,veículos,1.1.20. Utilitário,0
15,2700102,Água Branca,2006,Frota,veículos,1.1.21. Outros,0
16,2700102,Água Branca,2006,Frota,veículos,1.1.3. Caminhão,30
17,2700102,Água Branca,2006,Frota,veículos,1.1.4. Caminhão trator,1
18,2700102,Água Branca,2006,Frota,veículos,1.1.5. Caminhonete,112
19,2700102,Água Branca,2006,Frota,veículos,1.1.6. Camioneta,126
20,2700102,Água Branca,2006,Frota,veículos,1.1.7. Chassi plataforma,0
21,2700102,Água Branca,2006,Frota,veículos,1.1.8. Ciclomotor,0
22,2700102,Água Branca,2006,Frota,veículos,1.1.9. Micro-ônibus,7
23,2700102,Água Branca,2007,Frota,veículos,1. Veículo,928
24,2700102,Água Branca,2007,Frota,veículos,1.1.1. Automóvel,146
25,2700102,Água Branca,2007,Frota,veículos,1.1.10. Motocicleta,439
26,2700102,Água Branca,2007,Frota,veículos,1.1.11. Motoneta,30
27,2700102,Água Branca,2007,Frota,veículos,1.1.12. Ônibus,1
28,2700102,Água Branca,2007,Frota,veículos,1.1.13. Quadriciclo,0
29,2700102,Água Branca,2007,Frota,veículos,1.1.14. Reboque,3
30,2700102,Água Branca,2007,Frota,veículos,1.1.15. Semi-reboque,2
31,2700102,Água Branca,2007,Frota,veículos,1.1.16. Sidecar,0
32,2700102,Água Branca,2007,Frota,veículos,1.1.17. Trator de esteira,0
33,2700102,Água Branca,2007,Frota,veículos,1.1.18. Trator de rodas,0
34,2700102,Água Branca,2007,Frota,veículos,1.1.19. Triciclo,0
35,2700102,Água Branca,2007,Frota,veículos,1.1.2. Bonde,0
36,2700102,Água Branca,2007,Frota,veículos,1.1.20. Utilitário,0
37,2700102,Água Branca,2007,Frota,veículos,1.1.21. Outros,0
38,2700102,Água Branca,2007,Frota,veículos,1.1.3. Caminhão,33
39,2700102,Água Branca,2007,Frota,veículos,1.1.4. Caminhão trator,1
40,2700102,Água Branca,2007,Frota,veículos,1.1.5. Caminhonete,203
