_id,co_uf,no_uf,ano,variavel,inf_categoria,inf_subcategoria,valor
1,11.0,Rondônia,2006,Frota,veículos,1. Veículo,325221
2,11.0,Rondônia,2006,Frota,veículos,1.1.1. Automóvel,89068
3,11.0,Rondônia,2006,Frota,veículos,1.1.10. Motocicleta,130251
4,11.0,Rondônia,2006,Frota,veículos,1.1.11. Motoneta,39369
5,11.0,Rondônia,2006,Frota,veículos,1.1.12. Ônibus,2345
6,11.0,Rondônia,2006,Frota,veículos,1.1.13. Quadriciclo,0
7,11.0,Rondônia,2006,Frota,veículos,1.1.14. Reboque,3703
8,11.0,Rondônia,2006,Frota,veículos,1.1.15. Semi-reboque,4308
9,11.0,Rondônia,2006,Frota,veículos,1.1.16. Sidecar,23
10,11.0,Rondônia,2006,Frota,veículos,1.1.17. Trator de esteira,1
11,11.0,Rondônia,2006,Frota,veículos,1.1.18. Trator de rodas,5
12,11.0,Rondônia,2006,Frota,veículos,1.1.19. Triciclo,17
13,11.0,Rondônia,2006,Frota,veículos,1.1.2. Bonde,0
14,11.0,Rondônia,2006,Frota,veículos,1.1.20. Utilitário,267
15,11.0,Rondônia,2006,Frota,veículos,1.1.21. Outros,5
16,11.0,Rondônia,2006,Frota,veículos,1.1.3. Caminhão,16892
17,11.0,Rondônia,2006,Frota,veículos,1.1.4. Caminhão trator,2531
18,11.0,Rondônia,2006,Frota,veículos,1.1.5. Caminhonete,22148
19,11.0,Rondônia,2006,Frota,veículos,1.1.6. Camioneta,13405
20,11.0,Rondônia,2006,Frota,veículos,1.1.7. Chassi plataforma,15
21,11.0,Rondônia,2006,Frota,veículos,1.1.8. Ciclomotor,390
22,11.0,Rondônia,2006,Frota,veículos,1.1.9. Micro-ônibus,478
23,11.0,Rondônia,2007,Frota,veículos,1. Veículo,371327
24,11.0,Rondônia,2007,Frota,veículos,1.1.1. Automóvel,101269
25,11.0,Rondônia,2007,Frota,veículos,1.1.10. Motocicleta,151521
26,11.0,Rondônia,2007,Frota,veículos,1.1.11. Motoneta,46001
27,11.0,Rondônia,2007,Frota,veículos,1.1.12. Ônibus,2603
28,11.0,Rondônia,2007,Frota,veículos,1.1.13. Quadriciclo,0
29,11.0,Rondônia,2007,Frota,veículos,1.1.14. Reboque,4133
30,11.0,Rondônia,2007,Frota,veículos,1.1.15. Semi-reboque,4940
31,11.0,Rondônia,2007,Frota,veículos,1.1.16. Sidecar,34
32,11.0,Rondônia,2007,Frota,veículos,1.1.17. Trator de esteira,1
33,11.0,Rondônia,2007,Frota,veículos,1.1.18. Trator de rodas,6
34,11.0,Rondônia,2007,Frota,veículos,1.1.19. Triciclo,19
