_id,co_mun,no_mun,ano,variavel,produto_tipo,produto_variavel,valor
1,2700201,Anadia,2013.0,Aquicultura,Alevinos,Valor da produção (Mil Reais),...
2,2700201,Anadia,2013.0,Aquicultura,Alevinos (Milheiros),Produção da aquicultura,...
3,2700201,Anadia,2013.0,Aquicultura,Camarão,Valor da produção (Mil Reais),...
4,2700201,Anadia,2013.0,Aquicultura,Camarão (Quilogramas),Produção da aquicultura,...
5,2700201,Anadia,2013.0,Aquicultura,Carpa,Valor da produção (Mil Reais),...
6,2700201,Anadia,2013.0,Aquicultura,Carpa (Quilogramas),Produção da aquicultura,...
7,2700201,Anadia,2013.0,Aquicultura,"Curimatã, curimbatá",Valor da produção (Mil Reais),...
8,2700201,Anadia,2013.0,Aquicultura,"Curimatã, curimbatá (Quilogramas)",Produção da aquicultura,...
9,2700201,Anadia,2013.0,Aquicultura,Dourado,Valor da produção (Mil Reais),...
10,2700201,Anadia,2013.0,Aquicultura,Dourado (Quilogramas),Produção da aquicultura,...
11,2700201,Anadia,2013.0,Aquicultura,"Jatuarana, piabanha e piracanjuba",Valor da produção (Mil Reais),...
12,2700201,Anadia,2013.0,Aquicultura,"Jatuarana, piabanha e piracanjuba (Quilogramas)",Produção da aquicultura,...
13,2700201,Anadia,2013.0,Aquicultura,Lambari,Valor da produção (Mil Reais),...
14,2700201,Anadia,2013.0,Aquicultura,Lambari (Quilogramas),Produção da aquicultura,...
15,2700201,Anadia,2013.0,Aquicultura,Larvas e pós-larvas de camarão,Valor da produção (Mil Reais),...
16,2700201,Anadia,2013.0,Aquicultura,Larvas e pós-larvas de camarão (Milheiros),Produção da aquicultura,...
17,2700201,Anadia,2013.0,Aquicultura,Matrinxã,Valor da produção (Mil Reais),...
18,2700201,Anadia,2013.0,Aquicultura,Matrinxã (Quilogramas),Produção da aquicultura,...
19,2700201,Anadia,2013.0,Aquicultura,"Ostras, vieiras e mexilhões",Valor da produção (Mil Reais),...
20,2700201,Anadia,2013.0,Aquicultura,"Ostras, vieiras e mexilhões (Quilogramas)",Produção da aquicultura,...
21,2700201,Anadia,2013.0,Aquicultura,Outros peixes,Valor da produção (Mil Reais),...
22,2700201,Anadia,2013.0,Aquicultura,Outros peixes (Quilogramas),Produção da aquicultura,...
23,2700201,Anadia,2013.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)",Valor da produção (Mil Reais),...
24,2700201,Anadia,2013.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc) (Nenhuma)",Produção da aquicultura,...
25,2700201,Anadia,2013.0,Aquicultura,Pacu e patinga,Valor da produção (Mil Reais),...
26,2700201,Anadia,2013.0,Aquicultura,Pacu e patinga (Quilogramas),Produção da aquicultura,...
27,2700201,Anadia,2013.0,Aquicultura,"Piau, piapara, piauçu, piava",Valor da produção (Mil Reais),...
28,2700201,Anadia,2013.0,Aquicultura,"Piau, piapara, piauçu, piava (Quilogramas)",Produção da aquicultura,...
29,2700201,Anadia,2013.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim",Valor da produção (Mil Reais),...
30,2700201,Anadia,2013.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim (Quilogramas)",Produção da aquicultura,...
31,2700201,Anadia,2013.0,Aquicultura,Pirapitinga,Valor da produção (Mil Reais),...
32,2700201,Anadia,2013.0,Aquicultura,Pirapitinga (Quilogramas),Produção da aquicultura,...
33,2700201,Anadia,2013.0,Aquicultura,Pirarucu,Valor da produção (Mil Reais),...
34,2700201,Anadia,2013.0,Aquicultura,Pirarucu (Quilogramas),Produção da aquicultura,...
35,2700201,Anadia,2013.0,Aquicultura,Sementes de moluscos,Valor da produção (Mil Reais),...
36,2700201,Anadia,2013.0,Aquicultura,Sementes de moluscos (Milheiros),Produção da aquicultura,...
37,2700201,Anadia,2013.0,Aquicultura,"Tambacu, tambatinga",Valor da produção (Mil Reais),...
38,2700201,Anadia,2013.0,Aquicultura,"Tambacu, tambatinga (Quilogramas)",Produção da aquicultura,...
39,2700201,Anadia,2013.0,Aquicultura,Tambaqui,Valor da produção (Mil Reais),...
40,2700201,Anadia,2013.0,Aquicultura,Tambaqui (Quilogramas),Produção da aquicultura,...
41,2700201,Anadia,2013.0,Aquicultura,Tilápia,Valor da produção (Mil Reais),...
42,2700201,Anadia,2013.0,Aquicultura,Tilápia (Quilogramas),Produção da aquicultura,...
43,2700201,Anadia,2013.0,Aquicultura,Total,Produção da aquicultura,..
44,2700201,Anadia,2013.0,Aquicultura,Total,Valor da produção (Mil Reais),...
45,2700201,Anadia,2013.0,Aquicultura,Traíra e trairão,Valor da produção (Mil Reais),...
46,2700201,Anadia,2013.0,Aquicultura,Traíra e trairão (Quilogramas),Produção da aquicultura,...
47,2700201,Anadia,2013.0,Aquicultura,Truta,Valor da produção (Mil Reais),...
48,2700201,Anadia,2013.0,Aquicultura,Truta (Quilogramas),Produção da aquicultura,...
49,2700201,Anadia,2013.0,Aquicultura,Tucunaré,Valor da produção (Mil Reais),...
50,2700201,Anadia,2013.0,Aquicultura,Tucunaré (Quilogramas),Produção da aquicultura,...
51,2700201,Anadia,2014.0,Aquicultura,Alevinos,Valor da produção (Mil Reais),...
