EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
39640000;2;01/04/2002;;1;1;44,934;;;4;;1;0;0;;0;23,1;33,418;36,468;44,934;28,613;27,817;22,15;17,702;13,157;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
39640000;2;01/03/2002;;1;1;56,528;9,32;15,914;6;3;2;2;2;;0;9,636;9,477;9,32;9,795;16,834;55,67;32,342;13,689;13,511;12,632;12,286;12,286;12,286;12,114;11,267;10,604;10,278;17,026;19,181;22,255;24,171;17,799;12,806;12,286;11,943;11,267;10,934;12,632;23,526;17,605;15,887;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;
39640000;2;01/02/2002;;1;1;43,614;9,795;15,584;15;28;1;1;1;;0;12,458;11,603;11,435;11,773;14,591;13,157;11,943;10,934;10,278;10,278;11,435;12,632;35,728;31,868;43,089;35,237;19,582;14,409;13,511;13,157;12,632;12,114;11,603;10,604;10,278;10,278;9,955;9,795;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
39640000;2;01/01/2002;;1;1;71,749;11,435;23,034;11;2;1;1;1;;0;11,603;11,435;28,385;14,774;11,435;12,286;13,868;12,114;13,511;33,298;71,749;71,749;38,466;35,237;15,513;13,333;13,333;12,286;14,774;23,74;16,643;18,981;55,101;35,237;25,697;18,191;16,643;15,887;13,689;12,632;12,458;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39640000;2;01/12/2001;;1;1;14,409;6,641;9,426;13;7;1;1;1;;0;7,794;7,5;7,5;7,066;7,066;6,923;6,641;8,699;8,546;8,546;8,853;11,1;14,228;13,333;10,934;11,943;11,603;11,435;11,1;8,699;8,393;7,794;8,092;9,007;10,769;8,699;9,32;9,636;9,955;10,604;10,441;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39640000;2;01/11/2001;;1;1;12,806;7,794;9,414;1;23;1;1;1;;0;12,632;12,114;11,603;10,934;10,604;10,278;10,278;10,116;10,441;10,769;10,278;10,116;9,795;9,32;9,163;8,699;8,699;8,546;8,242;8,092;8,092;7,943;7,794;7,794;7,943;7,794;9,007;8,853;8,393;8,092;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
39640000;2;01/10/2001;;1;1;57,966;10,934;16,812;14;11;1;1;1;;0;12,286;11,943;12,286;12,632;11,943;11,603;11,267;11,267;11,267;11,267;10,934;11,267;27,931;57,966;56,241;33,538;21,42;12,981;12,286;12,286;12,632;11,943;11,603;11,603;11,267;11,267;12,458;16,075;17,218;16,263;14,228;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39640000;2;01/09/2001;;1;1;23,526;12,981;16,705;3;30;1;1;1;;0;20,801;19,986;23,526;23,1;23,312;20,392;19,783;18,585;17,411;17,218;16,834;16,834;15,887;15,513;15,513;15,513;15,142;14,774;14,774;14,409;14,048;13,868;14,228;14,409;14,409;16,643;14,591;13,333;13,333;12,981;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
39640000;2;01/08/2001;;1;1;66,844;19,582;29,382;16;29;1;1;1;;0;26,139;37,713;51,728;40,499;30,226;25,697;29,762;22,676;30,226;32,58;28,841;28,157;31,16;27,479;25,477;64,137;38,971;30,692;29,762;28,385;28,613;25,258;24,387;23,526;23,1;22,045;21,42;20,188;19,582;20,801;21,628;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39640000;2;01/07/2001;;1;1;52,845;18,783;29,269;22;15;1;1;1;;0;35,728;37,963;38,466;27,704;24,603;25,477;27,931;35,482;30,226;27,03;25,477;22,676;21,42;20,392;18,783;31,396;31,868;31,631;27,254;27,479;39,478;52,565;37,963;28,157;25,258;24,821;23,74;23,1;21,836;25,477;35,974;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39640000;2;01/06/2001;;1;1;151,851;7,354;32,713;14;1;1;1;1;;0;7,354;10,441;9,007;8,699;9,163;11,1;19,381;17,995;16,263;17,411;18,191;32,819;98,285;151,453;54,534;23,526;26,806;27,479;23,955;20,392;18,981;18,191;18,387;18,585;18,981;30,926;91,814;90,135;39,988;31,16;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
39640000;2;01/05/2001;;1;1;12,458;5,419;7,167;1;29;1;1;1;;0;11,943;10,441;10,116;10,604;10,278;9,32;8,546;7,943;7,647;7,354;7,21;6,923;6,923;6,641;6,501;6,362;6,362;6,224;6,087;5,952;5,817;5,817;5,817;5,683;5,551;5,683;5,551;5,551;5,419;5,683;6,224;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39640000;2;01/04/2001;;1;1;24,603;7,21;10,367;29;15;1;2;2;;0;10,934;10,769;10,116;10,441;8,699;8,853;11,1;10,441;10,441;8,853;8,546;8,242;7,794;7,5;7,21;7,21;7,647;12,114;11,1;8,699;7,943;7,943;8,092;8,393;8,853;8,853;11,1;22,887;24,171;16,075;;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
39640000;2;01/03/2001;;1;1;12,632;6,923;8,309;31;9;1;1;1;;0;8,242;8,242;7,794;7,794;7,647;7,21;7,066;7,066;6,923;6,923;6,923;6,923;8,699;10,278;10,604;9,163;8,546;7,943;7,5;7,647;7,647;11,435;10,441;9,32;8,242;7,647;7,21;7,066;7,354;9,636;12,458;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39640000;2;01/02/2001;;1;1;8,699;;8;17;;1;0;2;;0;;;;;;;;;8,092;7,943;7,794;7,794;7,794;8,092;7,943;8,092;8,546;8,393;8,242;8,242;8,242;8,242;8,242;8,242;8,092;7,943;8,092;8,393;;;;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
39640000;2;01/01/2001;;1;1;14,958;;10;3;;1;0;2;;0;;;14,958;14,591;14,409;;;14,048;;;14,774;14,409;14,048;13,868;;;;14,228;14,228;13,868;;;;;;;;;;;;4;4;1;1;1;4;4;1;4;4;1;1;1;1;4;4;4;1;1;1;4;4;4;4;4;4;4;4;4;4;4;
