EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31
49705000,2,01/01/1959,,1,1,2922,947,2079,988,2551,326,24,1,1,1,1,,0,2079,988,2202,173,2277,422,2294,342,2268,989,2227,94,2169,196,2144,652,2120,269,2096,47,2169,196,2243,798,2328,4,2432,317
49705000,2,01/01/1960,,1,1,2942,485,1694,318,2370,583,20,11,1,1,1,,0,2218,769,2177,413,2096,47,2064,2016,463,1930,969,1870,13,1803,26,1730,121,1701,444,1694,318,1773,655,2016,463,2202,173,2494
49705000,2,01/01/1961,,1,1,3782,709,3157,324,3382,82,31,17,1,1,1,,0,3177,461,3167,383,3167,383,3187,557,3207,804,3248,522,3299,836,3320,492,3330,847,3351,615,3351,615,3330,847,3330,847,3299,836
49705000,2,01/01/1962,,1,1,2855,156,1442,693,2025,911,31,12,1,1,1,,0,1744,563,1840,131,1885,234,1885,234,1832,675,1773,655,1701,444,1589,493,1555,407,1495,125,1462,229,1442,693,1462,229,1555,407
49705000,2,01/01/1963,,1,1,4488,677,3370,254,3970,299,31,1,1,1,1,,0,3370,254,3434,111,3466,3,3520,332,3574,847,3618,808,3674,196,3730,69,3775,119,3820,481,3843,28,3866,156,3889,112,3935,257
49705000,2,01/01/1964,,1,1,3640,905,1372,356,2069,986,31,1,1,1,1,,0,1372,356,1528,446,1630,959,1651,924,1694,318,1737,333,1810,412,1855,95,1877,673,1900,408,1885,234,1840,131,1751,81,1687,209
49705000,2,01/01/1965,,1,1,3234,265,2574,962,2946,674,26,7,1,1,1,,0,3091,418,3011,458,2884,97,2788,282,2694,33,2611,359,2574,962,2602,232,2638,849,2666,506,2694,33,2731,688,2788,282,2816,83
49705000,2,01/01/1966,,1,1,3434,111,1766,356,2311,795,31,11,1,1,1,,0,2449,891,2380,31,2302,83,2227,94,2144,652,2056,33,1985,127,1915,653,1847,604,1795,657,1766,356,1766,356,1788,306,1803,26
49705000,2,01/01/1967,,1,1,3402,96,1701,444,2707,437,19,1,1,1,1,,0,1701,444,1715,748,1737,333,1788,306,1885,234,2056,33,2285,873,2467,539,2638,849,2807,295,2971,932,3071,314,3162,376,3223,938
49705000,2,01/01/1968,,1,1,4075,583,2991,657,3563,386,31,5,1,1,1,,0,3021,387,3081,357,3081,357,3011,458,2991,657,3021,387,3081,357,3152,182,3244,611,3307,88,3370,254,3434,111,3498,661,3542,8
